disthash,kutchas,puccas,university,unemployed,malaria,malaria_now,under_net,population,current_total,saturated,cost_per_completion,cost_per_message,CTR,CPM
07853f76,0.208,0.6,0.576,0.468,0.208,0.016,0.316,3673889.0,250.0,True,45.45454545454545,11.111111111111,1.97621443,59.16809656
09c3966f,0.24472573839662448,0.47257383966244726,0.5907172995780591,0.45147679324894513,0.3333333333333333,0.02109704641350211,0.42616033755274263,2496970.0,237.0,False,142.85714285714286,25.0,2.01957541,68.92748828
0b302692,0.14655172413793102,0.5732758620689655,0.5991379310344828,0.46551724137931033,0.07758620689655173,0.017241379310344827,0.6551724137931034,3100946.0,232.0,False,76.92307692307692,26.315789473684,1.69360195,55.3464689
0c4a9e7c,0.26141078838174275,0.45228215767634855,0.5933609958506224,0.4896265560165975,0.1078838174273859,0.012448132780082987,0.5933609958506224,3006538.0,241.0,False,58.8235294117647,17.241379310345,1.72074417,63.49609499
0c92f920,0.22413793103448276,0.40229885057471265,0.7068965517241379,0.5287356321839081,0.3793103448275862,0.017241379310344827,0.4827586206896552,1221592.0,174.0,False,100.0,35.714285714286,2.09038812,65.12112529
0d1e3ccb,0.14285714285714285,0.5494505494505495,0.554945054945055,0.42857142857142855,0.23626373626373626,0.03296703296703297,0.2967032967032967,1564708.0,182.0,False,111.11111111111111,33.333333333333,1.38797575,73.0513551
0e695f9f,0.13043478260869565,0.6679841897233202,0.6758893280632411,0.383399209486166,0.1067193675889328,0.007905138339920948,0.5217391304347826,3343872.0,253.0,True,62.5,20.833333333333,1.45086705,57.80346821
15b5a749,0.24603174603174602,0.5158730158730159,0.6150793650793651,0.4603174603174603,0.21428571428571427,0.031746031746031744,0.40476190476190477,3681896.0,252.0,True,90.9090909090909,20.408163265306,1.82630403,65.6943897
188ae45b,0.3057324840764331,0.4140127388535032,0.4968152866242038,0.4394904458598726,0.3057324840764331,0.03184713375796178,0.7515923566878981,716259.0,157.0,False,83.33333333333333,35.714285714286,1.70185541,63.97952655
196f4fd1,0.16877637130801687,0.5991561181434599,0.540084388185654,0.459915611814346,0.21940928270042195,0.012658227848101266,0.33755274261603374,2547184.0,237.0,False,38.46153846153846,14.285714285714,1.68499468,59.12262031
22a26988,0.2620320855614973,0.48663101604278075,0.5721925133689839,0.39572192513368987,0.22459893048128343,0.026737967914438502,0.7058823529411765,1413199.0,187.0,False,100.0,38.461538461538,1.50812918,73.56727728
247b0531,0.27450980392156865,0.396078431372549,0.5568627450980392,0.4392156862745098,0.3137254901960784,0.0392156862745098,0.5137254901960784,2632733.0,255.0,True,76.92307692307692,24.390243902439,1.95092518,67.04210244
