stratumid,cluster_kutcha,cluster_pucca,cluster_university,cluster_unemployed,cluster_malaria5year,cluster_malaria2weeks,cluster_sleepundernet,cluster_population,cluster_current_total,cluster_cost_per_completion,cluster_cost_per_message,cluster_CTR,cluster_CPM
06622dd4,0.3333333333333333,0.36666666666666664,0.5333333333333333,0.5666666666666667,0.23333333333333334,0.03333333333333333,0.43333333333333335,1599596.0,30.0,1000.0,90.909090909091,1.79047619,126.98412698
07853f76,0.19838056680161945,0.6072874493927125,0.5725806451612904,0.4637096774193548,0.2056451612903226,0.016129032258064516,0.3185483870967742,3673889.0,248.0,43.47826086956522,11.111111111111,1.97621443,59.16809656
09839cda,0.6619718309859155,0.16901408450704225,0.6056338028169014,0.4647887323943662,0.323943661971831,0.04225352112676056,0.7323943661971831,851669.0,71.0,250.0,71.428571428571,1.41276969,109.5170299
09c3966f,0.24472573839662448,0.47257383966244726,0.592436974789916,0.4495798319327731,0.33613445378151263,0.02100840336134454,0.42436974789915966,2496970.0,238.0,142.85714285714286,25.0,2.01957541,68.92748828
0b302692,0.14957264957264957,0.5683760683760684,0.6025641025641025,0.4700854700854701,0.07692307692307693,0.017094017094017096,0.6538461538461539,3100946.0,234.0,76.92307692307692,26.315789473684,1.69360195,55.3464689
0c4a9e7c,0.25416666666666665,0.45416666666666666,0.5975103734439834,0.4854771784232365,0.1078838174273859,0.012448132780082987,0.5933609958506224,3006538.0,241.0,58.8235294117647,17.241379310345,1.72074417,63.49609499
0c92f920,0.22413793103448276,0.40229885057471265,0.7068965517241379,0.5287356321839081,0.3793103448275862,0.017241379310344827,0.4827586206896552,1221592.0,174.0,100.0,35.714285714286,2.09038812,65.12112529
0cb3e7c3,0.17142857142857143,0.45714285714285713,0.6857142857142857,0.5714285714285714,0.2,0.05714285714285714,0.7714285714285715,2559297.0,35.0,333.3333333333333,90.909090909091,1.53418566,111.17287382
0d1e3ccb,0.14285714285714285,0.5494505494505495,0.554945054945055,0.42857142857142855,0.23626373626373626,0.03296703296703297,0.2967032967032967,1564708.0,182.0,111.11111111111111,33.333333333333,1.38797575,73.0513551
0e695f9f,0.1328125,0.6640625,0.67578125,0.3828125,0.10546875,0.0078125,0.5234375,3343872.0,256.0,62.5,20.833333333333,1.45086705,57.80346821
1504009c,0.37037037037037035,0.4074074074074074,0.6666666666666666,0.4444444444444444,0.32098765432098764,0.024691358024691357,0.8641975308641975,1042886.0,81.0,166.66666666666666,47.619047619048,1.94067092,92.41290084
15b5a749,0.24701195219123506,0.5179282868525896,0.6150793650793651,0.4603174603174603,0.21825396825396826,0.031746031746031744,0.4087301587301587,3681896.0,252.0,90.9090909090909,20.408163265306,1.82630403,65.6943897
188ae45b,0.3057324840764331,0.4140127388535032,0.4968152866242038,0.4394904458598726,0.3057324840764331,0.03184713375796178,0.7515923566878981,716259.0,157.0,83.33333333333333,35.714285714286,1.70185541,63.97952655
196f4fd1,0.16595744680851063,0.6042553191489362,0.5338983050847458,0.4661016949152542,0.22033898305084745,0.012711864406779662,0.3347457627118644,2547184.0,236.0,38.46153846153846,14.285714285714,1.68499468,59.12262031
