id,distcode,distname,state,rad,lng,lat,disthash
245718296,363,Jamtara,Jharkhand,9.082666243673524,86.8024922,23.96321639999999,94c3981f
806417087,363,Jamtara,Jharkhand,-1.1569628171019395,86.87881010000001,23.852604399999997,94c3981f
6736171285,363,Jamtara,Jharkhand,4.793280450027162,86.61386129999998,24.045396099999998,94c3981f
6736213486,363,Jamtara,Jharkhand,5.612525281927262,87.1611929,23.97046989999999,94c3981f
566174725,369,Saraikela-Kharsawan,Jharkhand,2.37570992151892,86.1066529,22.815277199999997,ba2a52b9
1323455437,369,Saraikela-Kharsawan,Jharkhand,11.198950231452667,85.94794419999998,22.791741600000005,ba2a52b9
2935183141,369,Saraikela-Kharsawan,Jharkhand,5.209809977903207,85.9314631,22.701465799999998,ba2a52b9
245715873,359,Latehar,Jharkhand,4.805333463535841,84.4994931,23.74355149999999,282c9c61
2173994342,359,Latehar,Jharkhand,11.798638790641734,84.78813929999998,23.8286141,282c9c61
6194675463,359,Latehar,Jharkhand,1.5172443720446476,84.1134739,23.850261899999992,282c9c61
245711510,365,Khunti,Jharkhand,9.924458083219307,85.28004589999999,23.077096099999995,a5ef19d0
1582575400,365,Khunti,Jharkhand,11.905008735016672,85.0842705,22.92655709999999,a5ef19d0
6743975386,365,Khunti,Jharkhand,8.958954070339939,85.28330319999999,22.971294699999998,a5ef19d0
245703060,368,Pashchimi Singhbhum,Jharkhand,-1.623139459135147,85.40779349999998,22.1639504,388ca278
245706983,368,Pashchimi Singhbhum,Jharkhand,5.567857410230148,85.8079,22.54869999999999,388ca278
245708613,368,Pashchimi Singhbhum,Jharkhand,7.597939029820769,85.6201822,22.672758299999995,388ca278
1724876906,368,Pashchimi Singhbhum,Jharkhand,-1.363367078722662,85.2930145,22.1050969,388ca278
6221800910,368,Pashchimi Singhbhum,Jharkhand,2.7855633453169437,85.5063343,22.16059939999999,388ca278
6221800922,368,Pashchimi Singhbhum,Jharkhand,7.446845889212927,85.58918239999998,22.16890589999999,388ca278
6221801452,368,Pashchimi Singhbhum,Jharkhand,4.237552869485135,85.3838539,22.212248699999996,388ca278
6744598585,368,Pashchimi Singhbhum,Jharkhand,13.333924173269555,85.63920019999999,22.22197249999999,388ca278
1310865372,347,Chatra,Jharkhand,18.7303965327325,84.8707742,24.2056663,1504009c
245706199,357,Purbi Singhbhum,Jharkhand,1.4737102605268333,86.71876589999998,22.479057799999993,dbaa941c
566174729,357,Purbi Singhbhum,Jharkhand,0.3291721530005275,86.20295789999999,22.801519399999997,dbaa941c
654096717,357,Purbi Singhbhum,Jharkhand,13.086921080274807,86.4784288,22.58389229999999,dbaa941c
3015052231,357,Purbi Singhbhum,Jharkhand,14.865220607601984,86.349953,22.655634399999983,dbaa941c
6186589306,357,Purbi Singhbhum,Jharkhand,7.979921475614625,86.25735279999999,22.742148,dbaa941c
245722601,348,Kodarma,Jharkhand,9.090855088180907,85.5216823,24.43302909999999,188ae45b
2467374529,348,Kodarma,Jharkhand,8.039920232114131,85.5937309,24.46638009999999,188ae45b
6731729386,348,Kodarma,Jharkhand,11.503906555176467,85.69104189999999,24.47363470000001,188ae45b
6731743787,348,Kodarma,Jharkhand,6.686010146721272,85.4847908,24.395178899999998,188ae45b
245720167,349,Giridih,Jharkhand,15.328672068398989,86.30056939999999,24.1914224,335580ac
6732005785,349,Giridih,Jharkhand,3.1011085349697916,86.4441848,24.18124919999999,335580ac
1317373131,355,Bokaro,Jharkhand,6.103616178185984,86.1751454,23.632753599999997,72d1d8e0
1326704892,355,Bokaro,Jharkhand,5.459951425608186,86.14939269999999,23.667858100000004,72d1d8e0
2467531041,355,Bokaro,Jharkhand,7.111605179736912,86.1456444,23.65443379999999,72d1d8e0
5117404869,355,Bokaro,Jharkhand,6.1923520495250886,85.75176410000002,23.7402273,72d1d8e0
5117404870,355,Bokaro,Jharkhand,6.958429750110443,85.7543455,23.74692869999999,72d1d8e0
5117420504,355,Bokaro,Jharkhand,8.34104691029041,85.83007209999998,23.745216899999992,72d1d8e0
5117514157,355,Bokaro,Jharkhand,6.6260653855758305,85.8486081,23.7596488,72d1d8e0
5117514241,355,Bokaro,Jharkhand,9.281401078554131,85.91670539999998,23.7713413,72d1d8e0
5117514545,355,Bokaro,Jharkhand,6.824613316181116,85.8867627,23.772621999999995,72d1d8e0
6738492885,355,Bokaro,Jharkhand,4.287015103415525,86.1192512,23.748072,72d1d8e0
6738512286,355,Bokaro,Jharkhand,3.4661008189846725,85.85169549999999,23.613050699999985,72d1d8e0
245720866,350,Deoghar,Jharkhand,8.106876548924573,86.64555379999999,24.26487179999999,8ce955f7
245723288,350,Deoghar,Jharkhand,7.114990238049593,86.69771059999998,24.490494499999997,8ce955f7
1884979180,350,Deoghar,Jharkhand,4.344669582866523,86.6469648,24.51425129999999,8ce955f7
6732429688,350,Deoghar,Jharkhand,11.545580052343292,86.7759204,24.37907529999999,8ce955f7
6732429689,350,Deoghar,Jharkhand,8.036475854312984,86.5817606,24.40627819999999,8ce955f7
6732433785,350,Deoghar,Jharkhand,4.3568336660943565,86.8160462,24.510159799999997,8ce955f7
1630011711,366,Gumla,Jharkhand,17.85209769881229,84.54222859999999,23.042607699999998,32488788
245715021,361,Ramgarh,Jharkhand,4.571138765886068,85.5181117,23.631284600000004,c25e6958
245715032,361,Ramgarh,Jharkhand,1.7092667730926245,85.45104,23.620604499999985,c25e6958
797788954,361,Ramgarh,Jharkhand,1.0250922034394712,85.55517749999999,23.786682,c25e6958
